net_name,type,fanout
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[11],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[12],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[13],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[14],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[15],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[16],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[17],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[18],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[19],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[20],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[21],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[22],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[23],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[24],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[25],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[26],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[27],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[28],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[29],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[30],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[31],reset,3
lsu_biu_ar_burst[0],reset,3
lsu_biu_ar_burst[1],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[0],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[1],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[2],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[3],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[4],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[5],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[6],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[7],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[8],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[9],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[10],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[11],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[12],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[13],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[14],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[15],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[16],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[17],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[18],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[19],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[20],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[21],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[22],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[23],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[24],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[25],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[26],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[27],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[28],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[29],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[30],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[31],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[6],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[7],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_doub_expnt_rst[10],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_expnt_rst[3],reset,3
pad_yy_scan_rst_b,reset,2
had_xx_clk_en,clock,2
x_ct_biu_top_x_ct_biu_read_channel_cur_raddr_buf0_arburst[0],reset,2
x_ct_biu_top_x_ct_biu_read_channel_cur_raddr_buf0_arburst[1],reset,2
x_ct_biu_top_x_ct_biu_read_channel_cur_raddr_buf1_arburst[0],reset,2
x_ct_biu_top_x_ct_biu_read_channel_cur_raddr_buf1_arburst[1],reset,2
x_ct_biu_top_x_ct_biu_write_channel_cur_waddr_st_awburst[0],reset,2
x_ct_biu_top_x_ct_biu_write_channel_cur_waddr_st_awburst[1],reset,2
x_ct_biu_top_x_ct_biu_write_channel_cur_waddr_vict_awburst[0],reset,2
x_ct_clk_top_core_clk_buf_clk_en,clock,2
x_ct_core_cp0_lsu_wr_burst_dis,reset,2
x_ct_core_x_ct_cp0_top_x_ct_cp0_iui_rst_icache_inv,reset,2
x_ct_core_x_ct_ifu_top_x_ct_ifu_btb_after_addrgen_btb_chgflw_first,reset,2
x_ct_core_x_ct_ifu_top_x_ct_ifu_vector_vector_rst_inv_ff,reset,2
x_ct_core_x_ct_lsu_top_x_ct_lsu_snoop_snq_snq_dcache_snpdt_first,reset,2
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_3_sq_entry_bond_first_only,reset,2
